addressWithZip,statusText,detailUrl,price,zpid,beds,baths,area,latitude,longitude,city,yearBuilt,daysOnZillow,hiResImageLink,homeType,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,distance,travel_time
"10431 Procera Dr, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/10431-Procera-Dr-Rockville-MD-20850/58240725_zpid/,495000,58240725,3,3,1294,39.085598,-77.217205,Rockville,1999,7,https://photos.zillowstatic.com/p_f/ISapdwcpyfdo5e1000000000.jpg,TOWNHOUSE,Stone Mill Elementary School,2,9,Primary,https://www.greatschools.org/school?id=01014&state=MD,644,Cabin John Middle School,1,9,Middle,https://www.greatschools.org/school?id=01019&state=MD,941,Thomas S. Wootton High School,4,9,High,https://www.greatschools.org/school?id=00966&state=MD,2206,4.918,753
"10634 Chisholm Landing Ter, North Potomac, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/10634-Chisholm-Landing-Ter-North-Potomac-MD-20878/37159773_zpid/,459000,37159773,3,4,1750,39.099154,-77.220277,North Potomac,1986,35,https://photos.zillowstatic.com/p_f/IS6a7a6xpfxyiv0000000000.jpg,TOWNHOUSE,Stone Mill Elementary School,2,9,Primary,https://www.greatschools.org/school?id=01014&state=MD,644,Cabin John Middle School,1,9,Middle,https://www.greatschools.org/school?id=01019&state=MD,941,Thomas S. Wootton High School,4,9,High,https://www.greatschools.org/school?id=00966&state=MD,2206,4.75,736
"952 Paulsboro Dr, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/952-Paulsboro-Dr-Rockville-MD-20850/37108083_zpid/,485000,37108083,3,3,1622,39.079487,-77.180839,Rockville,1972,7,https://photos.zillowstatic.com/p_f/ISqhm2bhpzssx71000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,https://www.greatschools.org/school?id=00890&state=MD,535,Robert Frost Middle School,8,9,Middle,https://www.greatschools.org/school?id=00997&state=MD,1112,Thomas S. Wootton High School,4,9,High,https://www.greatschools.org/school?id=00966&state=MD,2206,2.77,482
"17 Chantilly Ct, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/17-Chantilly-Ct-Rockville-MD-20850/37108748_zpid/,445000,37108748,3,4,1210,39.082674,-77.172995,Rockville,1973,29,https://photos.zillowstatic.com/p_f/ISyz1d6vlbaurt0000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,https://www.greatschools.org/school?id=00890&state=MD,535,Robert Frost Middle School,8,9,Middle,https://www.greatschools.org/school?id=00997&state=MD,1112,Thomas S. Wootton High School,4,9,High,https://www.greatschools.org/school?id=00966&state=MD,2206,2.344,428
"618 Northcliffe Dr, Rockville, MD 20850",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/618-Northcliffe-Dr-Rockville-MD-20850/37107874_zpid/,None,37107874,3,3.5,1408,39.081967,-77.182118,Rockville,1971,246,https://photos.zillowstatic.com/p_f/IS9lyhs2tyvcc31000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,https://www.greatschools.org/school?id=00890&state=MD,535,Robert Frost Middle School,8,9,Middle,https://www.greatschools.org/school?id=00997&state=MD,1112,Thomas S. Wootton High School,4,9,High,https://www.greatschools.org/school?id=00966&state=MD,2206,2.148,364
"912 Orchard Ridge Dr UNIT 200, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/912-Orchard-Ridge-Dr-UNIT-200-Gaithersburg-MD-20878/60875306_zpid/,412000,60875306,3,3,2631,39.123489,-77.228056,Gaithersburg,2003,64,https://photos.zillowstatic.com/p_f/ISuoal0ppj3hlm0000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,https://www.greatschools.org/school?id=00885&state=MD,648,Lakelands Park Middle School,24,8,Middle,https://www.greatschools.org/school?id=02558&state=MD,1049,Northwest High School,26,7,High,https://www.greatschools.org/school?id=00991&state=MD,2255,6.384,958
"11816 Longdraft Ct, Gaithersburg, MD 20878",House for sale,https://www.zillow.com/homedetails/11816-Longdraft-Ct-Gaithersburg-MD-20878/37151086_zpid/,479900,37151086,4,3,1561,39.138373,-77.244846,Gaithersburg,1966,2,https://photos.zillowstatic.com/p_f/ISe0x1s1294ntu0000000000.jpg,SINGLE_FAMILY,Diamond Elementary School,12,9,Elementary,https://www.greatschools.org/school?id=00885&state=MD,648,Lakelands Park Middle School,24,8,Middle,https://www.greatschools.org/school?id=02558&state=MD,1049,Northwest High School,26,7,High,https://www.greatschools.org/school?id=00991&state=MD,2255,7.22,1084
"22 Keystone Dr, Gaithersburg, MD 20878",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/22-Keystone-Dr-Gaithersburg-MD-20878/37222911_zpid/,None,37222911,5,3,2156,39.13265,-77.242193,Gaithersburg,1974,30,https://www.zillowstatic.com/static/images/nophoto_p_f.png,SINGLE_FAMILY,Diamond Elementary School,12,9,Elementary,https://www.greatschools.org/school?id=00885&state=MD,648,Lakelands Park Middle School,24,8,Middle,https://www.greatschools.org/school?id=02558&state=MD,1049,Northwest High School,26,7,High,https://www.greatschools.org/school?id=00991&state=MD,2255,7.311,1143
"572 Orchard Ridge Dr UNIT 200, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/572-Orchard-Ridge-Dr-UNIT-200-Gaithersburg-MD-20878/60875125_zpid/,419000,60875125,3,3,2588,39.126106,-77.226206,Gaithersburg,2002,30,https://photos.zillowstatic.com/p_f/ISusp38wt26v6a1000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,https://www.greatschools.org/school?id=00885&state=MD,648,Lakelands Park Middle School,24,8,Middle,https://www.greatschools.org/school?id=02558&state=MD,1049,Northwest High School,26,7,High,https://www.greatschools.org/school?id=00991&state=MD,2255,7.538,779
"415 Beacon Hill Ter, Gaithersburg, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/415-Beacon-Hill-Ter-Gaithersburg-MD-20878/37247293_zpid/,440000,37247293,3,4,2160,39.129113,-77.237485,Gaithersburg,1990,44,https://photos.zillowstatic.com/p_f/ISif3g8oe995je1000000000.jpg,TOWNHOUSE,Diamond Elementary School,12,9,Elementary,https://www.greatschools.org/school?id=00885&state=MD,648,Lakelands Park Middle School,24,8,Middle,https://www.greatschools.org/school?id=02558&state=MD,1049,Northwest High School,26,7,High,https://www.greatschools.org/school?id=00991&state=MD,2255,6.699,1097
