addressWithZip,statusText,detailUrl,price,zpid,beds,baths,area,latitude,longitude,city,yearBuilt,daysOnZillow,hiResImageLink,homeType,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,distance,travel_time
"10634 Chisholm Landing Ter, North Potomac, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/10634-Chisholm-Landing-Ter-North-Potomac-MD-20878/37159773_zpid/,469900,37159773,3,4,1800,39.099154,-77.220277,North Potomac,1986,22,https://photos.zillowstatic.com/p_f/ISmq65kucfejr11000000000.jpg,TOWNHOUSE,Stone Mill Elementary School,2,9,Primary,/north-potomac-md/schools/stone-mill-elementary-school-27383/,644,Cabin John Middle School,1,9,Middle,/potomac-md/schools/cabin-john-middle-school-27388/,941,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,4.75,790
"10616 Sawdust Cir, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/10616-Sawdust-Cir-Rockville-MD-20850/37156722_zpid/,499500,37156722,3,4,2040,39.100509,-77.219878,Rockville,1984,64,https://photos.zillowstatic.com/p_f/ISuclxj4djo5ir0000000000.jpg,TOWNHOUSE,Stone Mill Elementary School,2,9,Primary,/north-potomac-md/schools/stone-mill-elementary-school-27383/,644,Cabin John Middle School,1,9,Middle,/potomac-md/schools/cabin-john-middle-school-27388/,941,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,4.429,719
"7701 Scotland Dr, Potomac, MD 20854",Townhouse for sale,https://www.zillow.com/homedetails/7701-Scotland-Dr-Potomac-MD-20854/2133669834_zpid/,429900,2133669834,3,2,1120,39.031654,-77.158669,Potomac,1971,29,https://photos.zillowstatic.com/p_f/ISmmbej6oem48o1000000000.jpg,TOWNHOUSE,Bells Mill Elementary School,19,10,Primary,/potomac-md/schools/bells-mill-elementary-school-24628/,626,Cabin John Middle School,1,9,Middle,/potomac-md/schools/cabin-john-middle-school-27388/,941,Winston Churchill High School,2,10,High,/potomac-md/schools/winston-churchill-high-school-27119/,2093,5.247,704
"10514 Sunny Brooke Ln, Potomac, MD 20854",Townhouse for sale,https://www.zillow.com/homedetails/10514-Sunny-Brooke-Ln-Potomac-MD-20854/37124241_zpid/,480000,37124241,3,3,1152,39.074061,-77.216853,Potomac,1995,138,https://photos.zillowstatic.com/p_f/ISirsfm2aw11r21000000000.jpg,TOWNHOUSE,Wayside Elementary School,10,9,Primary,/potomac-md/schools/wayside-elementary-school-26773/,526,Herbert Hoover Middle School,2,10,Middle,/potomac-md/schools/herbert-hoover-middle-school-26484/,1015,Winston Churchill High School,2,10,High,/potomac-md/schools/winston-churchill-high-school-27119/,2093,5.317,868
"17 Chantilly Ct, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/17-Chantilly-Ct-Rockville-MD-20850/37108748_zpid/,454900,37108748,3,4,1210,39.082674,-77.172995,Rockville,1973,16,https://photos.zillowstatic.com/p_f/ISy3t022mwfjre1000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,/rockville-md/schools/fallsmead-elementary-school-25153/,535,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1112,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,2.344,426
"618 Northcliffe Dr, Rockville, MD 20850",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/618-Northcliffe-Dr-Rockville-MD-20850/37107874_zpid/,None,37107874,3,3.5,1408,39.081967,-77.182118,Rockville,1971,233,https://photos.zillowstatic.com/p_f/IS9lyhs2tyvcc31000000000.jpg,TOWNHOUSE,Fallsmead Elementary School,8,9,Elementary,/rockville-md/schools/fallsmead-elementary-school-25153/,535,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1112,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,2.148,361
"12304 Mccrossin Ln, Potomac, MD 20854",House for sale,https://www.zillow.com/homedetails/12304-Mccrossin-Ln-Potomac-MD-20854/37151043_zpid/,489000,37151043,3,1,946,39.07207,-77.25434,Potomac,1942,26,https://photos.zillowstatic.com/p_f/ISqtzkze1es4zi0000000000.jpg,SINGLE_FAMILY,Travilah Elementary School,14,9,Elementary,/north-potomac-md/schools/travilah-elementary-school-26766/,390,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1112,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,7.186,1045
"11636 Pleasant Meadow Dr, North Potomac, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/11636-Pleasant-Meadow-Dr-North-Potomac-MD-20878/37157903_zpid/,429000,37157903,3,3,2380,39.088672,-77.238204,North Potomac,1988,38,https://www.zillowstatic.com/static/images/nophoto_p_f.png,TOWNHOUSE,Travilah Elementary School,14,9,Elementary,/north-potomac-md/schools/travilah-elementary-school-26766/,390,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1112,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,5.713,906
"10316 Nolan Dr, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/10316-Nolan-Dr-Rockville-MD-20850/37157165_zpid/,489900,37157165,3,4,1992,39.095691,-77.215784,Rockville,1984,66,https://photos.zillowstatic.com/p_f/ISek0qcj0tye0v0000000000.jpg,TOWNHOUSE,Lakewood Elementary School,22,8,Elementary,/rockville-md/schools/lakewood-elementary-school-26492/,543,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1112,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,3.997,651
"14703 Yearling Ter, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/14703-Yearling-Ter-Rockville-MD-20850/37157189_zpid/,489900,37157189,4,4,1968,39.097076,-77.214412,Rockville,1986,77,https://photos.zillowstatic.com/p_f/ISmi81o1ip2w2o1000000000.jpg,TOWNHOUSE,Lakewood Elementary School,22,8,Elementary,/rockville-md/schools/lakewood-elementary-school-26492/,543,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1112,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2206,3.906,623
