addressWithZip,statusText,detailUrl,price,zpid,beds,baths,area,latitude,longitude,city,yearBuilt,daysOnZillow,hiResImageLink,homeType,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,distance,travel_time
"12304 Mccrossin Ln, Potomac, MD 20854",House for sale,https://www.zillow.com/homedetails/12304-Mccrossin-Ln-Potomac-MD-20854/37151043_zpid/,489000,37151043,3,1,946,39.07207,-77.25434,Potomac,1942,16,https://photos.zillowstatic.com/p_f/ISqtzkze1es4zi0000000000.jpg,SINGLE_FAMILY,Travilah Elementary School,14,9,Elementary,/north-potomac-md/schools/travilah-elementary-school-26766/,417,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,7.186,996
"11636 Pleasant Meadow Dr, North Potomac, MD 20878",Townhouse for sale,https://www.zillow.com/homedetails/11636-Pleasant-Meadow-Dr-North-Potomac-MD-20878/37157903_zpid/,429000,37157903,3,2.5,2380,39.088672,-77.238204,North Potomac,1988,28,https://www.zillowstatic.com/static/images/nophoto_p_f.png,TOWNHOUSE,Travilah Elementary School,14,9,Elementary,/north-potomac-md/schools/travilah-elementary-school-26766/,417,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,5.713,795
"7701 Scotland Dr, Potomac, MD 20854",Townhouse for sale,https://www.zillow.com/homedetails/7701-Scotland-Dr-Potomac-MD-20854/2133669834_zpid/,429900,2133669834,3,2,1120,39.031654,-77.158669,Potomac,1971,19,https://photos.zillowstatic.com/p_f/IS23vwcjekbefk1000000000.jpg,TOWNHOUSE,Bells Mill Elementary School,19,10,Primary,/potomac-md/schools/bells-mill-elementary-school-24628/,611,Cabin John Middle School,1,9,Middle,/potomac-md/schools/cabin-john-middle-school-27388/,942,Winston Churchill High School,2,10,High,/potomac-md/schools/winston-churchill-high-school-27119/,1997,5.247,695
"10316 Nolan Dr, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/10316-Nolan-Dr-Rockville-MD-20850/37157165_zpid/,489900,37157165,3,4,1992,39.095691,-77.215784,Rockville,1984,56,https://photos.zillowstatic.com/p_f/ISmmry9x7y79dn1000000000.jpg,TOWNHOUSE,Lakewood Elementary School,22,8,Elementary,/rockville-md/schools/lakewood-elementary-school-26492/,542,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,3.997,609
"1940 Dundee Rd, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/1940-Dundee-Rd-Rockville-MD-20850/37108921_zpid/,498000,37108921,4,2,2094,39.087738,-77.184805,Rockville,1972,67,https://photos.zillowstatic.com/p_f/ISah7ucssxllob1000000000.jpg,TOWNHOUSE,Lakewood Elementary School,22,8,Elementary,/rockville-md/schools/lakewood-elementary-school-26492/,542,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,1.958,332
"14703 Yearling Ter, Rockville, MD 20850",Townhouse for sale,https://www.zillow.com/homedetails/14703-Yearling-Ter-Rockville-MD-20850/37157189_zpid/,489900,37157189,4,4,1968,39.097076,-77.214412,Rockville,1986,68,https://photos.zillowstatic.com/p_f/ISmi81o1ip2w2o1000000000.jpg,TOWNHOUSE,Lakewood Elementary School,22,8,Elementary,/rockville-md/schools/lakewood-elementary-school-26492/,542,Robert Frost Middle School,8,9,Middle,/rockville-md/schools/robert-frost-middle-school-27142/,1139,Thomas S. Wootton High School,4,9,High,/rockville-md/schools/thomas-s-wootton-high-school-26765/,2191,3.906,589
"23600 Woodfield Rd, Gaithersburg, MD 20882",House for sale,https://www.zillow.com/homedetails/23600-Woodfield-Rd-Gaithersburg-MD-20882/37271078_zpid/,400000,37271078,4,2,2424,39.243107,-77.185343,Gaithersburg,1967,1,https://photos.zillowstatic.com/p_f/ISa5q0l9gcdtg00000000000.jpg,SINGLE_FAMILY,Woodfield Elementary School,24,8,Primary,/gaithersburg-md/schools/woodfield-elementary-school-27122/,328,John T. Baker Middle School,45,7,Middle,/damascus-md/schools/john-t-baker-middle-school-27373/,776,Damascus High School,35,8,High,/damascus-md/schools/damascus-high-school-27148/,1248,13.262,1752
"24008 Woodfield School Rd, Gaithersburg, MD 20882",House for sale,https://www.zillow.com/homedetails/24008-Woodfield-School-Rd-Gaithersburg-MD-20882/37270690_zpid/,439900,37270690,4,3,2434,39.250056,-77.192934,Gaithersburg,1977,19,https://photos.zillowstatic.com/p_f/ISivforvwh0pm10000000000.jpg,SINGLE_FAMILY,Woodfield Elementary School,24,8,Primary,/gaithersburg-md/schools/woodfield-elementary-school-27122/,328,John T. Baker Middle School,45,7,Middle,/damascus-md/schools/john-t-baker-middle-school-27373/,776,Damascus High School,35,8,High,/damascus-md/schools/damascus-high-school-27148/,1248,13.911,1760
"23821 Rolling Fork Way, Gaithersburg, MD 20882",House for sale,https://www.zillow.com/homedetails/23821-Rolling-Fork-Way-Gaithersburg-MD-20882/37275119_zpid/,474000,37275119,4,4,3059,39.246275,-77.199738,Gaithersburg,1987,38,https://photos.zillowstatic.com/p_f/ISql9zaeisn5ve1000000000.jpg,SINGLE_FAMILY,Woodfield Elementary School,24,8,Primary,/gaithersburg-md/schools/woodfield-elementary-school-27122/,328,John T. Baker Middle School,45,7,Middle,/damascus-md/schools/john-t-baker-middle-school-27373/,776,Damascus High School,35,8,High,/damascus-md/schools/damascus-high-school-27148/,1248,14.487,1877
"23847 Rolling Fork Way, Gaithersburg, MD 20882",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/23847-Rolling-Fork-Way-Gaithersburg-MD-20882/37275128_zpid/,None,37275128,3,2.5,10,39.244723,-77.199381,Gaithersburg,1987,323,https://photos.zillowstatic.com/p_f/ISu547jbu7dz8j.jpg,SINGLE_FAMILY,Woodfield Elementary School,24,8,Primary,/gaithersburg-md/schools/woodfield-elementary-school-27122/,328,John T. Baker Middle School,45,7,Middle,/damascus-md/schools/john-t-baker-middle-school-27373/,776,Damascus High School,35,8,High,/damascus-md/schools/damascus-high-school-27148/,1248,14.599,1964
